taste_ko	phonetic	synonyms	taste_en
개운한	gae_un	상큼하다	refresh
깔끔한	kkal_kkeum		refresh
청량감있는	cheong_ryang_gam		refresh
산뜻한	san_tteut		refresh
상쾌한	sang_que		refresh
풋풋한	put_put		fragrant
향긋한	hyang_guet		fragrant
걸쭉한	geol_juk		thick
고소한	go_so		nutness
구수한	gu_su		nutness
고린	go_rin		nasty
고약한	go_yak		nasty
구리다	gu_rin		nasty
느끼한	neu_kki		greasy
달다		달디달다, 달다, 달큼하다, 다달하다, 다디달다	sweet
단내나는	dan_nae_na_neun		sweet
달착지근한	dal_chak_ji_geun	달짝지근한, 달짜근한	sweet
달콤한	dal_kom		sweet
들쩍지근한	deul_jjeok_ji_keun		sweet
꿀같은	kkul_ga_teun		sweet
감미로운	gam_mi_ro_un		sweet
달곰쌉쌀한		달곰씁쓸한	-
담백한	dam_baek		plain
정갈한	jeong_gal		plain
따뜻한	tta_tteut		warm
미적지근한	mi_jeok_ji_geun		warm
단단한	dan_dan		hard
딱딱한	ttak_ttak		hard
꼬들꼬들한	kko_deul_kko_deul		hard
떨떠름한	tteol_tteo_reum		astringent
떫은	tteol_beun	떫떠름하다, 텁텁하다, 떫디떫다	astringent
말랑한	mal_rang		tender
말캉한	mal_kang		tender
맛없는	mat_up_neun	밍밍하다, 맹맹하다, 심심하다	tasteless
감칠맛나는	gam_chil_mat_na_neun		tasty
맛깔나는	mat_kkal_na_neun		tasty
맛있는	mat_it_neun	맛나다, 먹음직하다	tasty
먹음직한	meok_eum_jik		tasty
입맛나는	ip_mat_na_neun		tasty
절묘한	jeol_myo		tasty
매운	mae_un	맵짜다, 맵디맵다	spicy
매캐하다	mae_kae		spicy
매콤한	mae_kom		spicy
매큼한	mae_keum		spicy
맵싸한	maeb_ssa		spicy
미끈한	mi_kkeun		smooth
오돌오돌한	o_dol_o_dol		crunchy
부드러운	bu_deu_reo_un		soft
부들부들	bu_deul_bu_deul		soft
살살녹는	sal_sal_nok_neun		soft
밋밋한	mit_mit		weak
싱거운	sing_geo_un		weak
순한	sun_han		weak
비린	bi_rin	비릿하다	fishy
젓갈내나는	jeot_gal_nae_na_neun		fishy
서늘한	seo_neul		cool
시원한	si_won		cool
차가운	cha_ga_un		cool
새콤달콤한		달콤새큼한, 새큼달큼한	-
시다		새큼하다, 시다시다, 시큼털털하다	sour
상큼한	sang_keum		sour
새콤한	sae_kom		sour
시큼한	si_keum	시쿰하다, 시큼씁쓸하다	sour
신내나는	sin_nae_na_neun		sour
쉰내나는	swin_nae_na_neun		sour
쓰다		씁쓰름하다	bitter
쌉싸름한	ssap_ssa_reum	쌉쌀하다, 씁쓰레하다, 쌉싸래하다	bitter
쓴맛나는	sseun_mat_na_nun		bitter
씁쓸한	sseup_sseul		bitter
바삭바삭한	ba_sak_ba_sak		crispy
사각사각한	sa_gak_sa_gak		crispy
아삭아삭한	a_sak_a_sak		crispy
얼큰한	eol_keun		peppery
컬컬한	keol_keol	칼칼하다	peppery
메스꺼운	me_seu_keo_un		disgusting
역겨운	yeok_gyeo_un		disgusting
쾨쾨하다	kwae_kwae		disgusting
은근한	eun_geun		mild
은은한	eun_eun		mild
자극적인	ja_keul_jeok		pungent
싸한	ssa_han		pungent
알싸한	al_ssa	얼얼하다, 알알하다, 알큰하다, 알큰하다	pungent
질긴	jil_gin		tough
짜다		짜디짜다, 짭짤하다, 짭짤하다, 짭짜름하다, 짭쪼름하다, 짭짜래하다	salty
간간한	gan_gan		salty
짠내나는	jjan_ne_na_neun		salty
짠맛나는	jjan_mat_na_neun		salty
찝찔한	jjip_jjil		salty
쫄깃한	jjol_git		sticky
쫀득한	jjon_deuk		sticky
차진	cha_jin		sticky
찝찝한	jjip_jjip		unpleasant state
텁텁한	teop_teop		unpleasant state
톡쏘는	tok_sso_neun		sparkly
퍽퍽한	peok_peok		crumbly
푸석푸석한	pu_seok_pu_seok		crumbly
푸짐한	pu_jim		abundant
누린내나는	nu_rin_nae_na_neun		fat smell of meat
